timestamp,demand_kwh,pv_generation_kwh,electricity_price_eur_mwh,electricity_price_eur_kwh,net_load_before_battery_kwh,hour,day_of_week,is_weekend,month,day_of_year
2023-01-01 00:00:00,23.502,0.0,98.04,0.09804,23.502,0,6,1,1,1
2023-01-01 01:00:00,21.83,0.0,107.18,0.10718,21.83,1,6,1,1,1
2023-01-01 02:00:00,28.327,0.0,110.41,0.11041,28.327,2,6,1,1,1
2023-01-01 03:00:00,26.068,0.0,109.58,0.10958,26.068,3,6,1,1,1
2023-01-01 04:00:00,24.476,0.0,117.96,0.11796,24.476,4,6,1,1,1
2023-01-01 05:00:00,26.101,0.0,107.21,0.10721,26.101,5,6,1,1,1
2023-01-01 06:00:00,30.872,0.0,114.84,0.11484,30.872,6,6,1,1,1
2023-01-01 07:00:00,36.213,2.077,99.75,0.09975,34.136,7,6,1,1,1
2023-01-01 08:00:00,55.267,1.144,119.77,0.11977,54.123,8,6,1,1,1
2023-01-01 09:00:00,55.685,4.523,115.64,0.11564,51.162,9,6,1,1,1
2023-01-01 10:00:00,47.196,3.177,115.09,0.11509,44.019,10,6,1,1,1
2023-01-01 11:00:00,47.578,4.088,106.44,0.10644,43.49,11,6,1,1,1
2023-01-01 12:00:00,53.286,5.507,94.83,0.09483,47.779,12,6,1,1,1
2023-01-01 13:00:00,42.211,8.463,79.74,0.07974,33.748,13,6,1,1,1
2023-01-01 14:00:00,53.09,4.744,99.98,0.09998,48.346,14,6,1,1,1
2023-01-01 15:00:00,45.326,1.693,87.93,0.08793,43.633,15,6,1,1,1
2023-01-01 16:00:00,48.006,5.253,82.31,0.08231,42.753,16,6,1,1,1
2023-01-01 17:00:00,48.34,4.234,111.53,0.11153,44.106,17,6,1,1,1
2023-01-01 18:00:00,49.142,2.12,133.92,0.13392,47.022,18,6,1,1,1
2023-01-01 19:00:00,32.53,0.0,121.44,0.12144,32.53,19,6,1,1,1
2023-01-01 20:00:00,28.558,0.0,151.68,0.15168,28.558,20,6,1,1,1
