timestamp,demand_kwh,pv_generation_kwh,electricity_price_eur_mwh,electricity_price_eur_kwh,net_load_before_battery_kwh,hour,day_of_week,is_weekend,month,day_of_year
2025-01-01 00:00:00,31.076,0.0,77.39,0.07739,31.076,0,2,0,1,1
2025-01-01 01:00:00,26.773,0.0,115.38,0.11538,26.773,1,2,0,1,1
2025-01-01 02:00:00,32.503,0.0,103.08,0.10308,32.503,2,2,0,1,1
2025-01-01 03:00:00,33.111,0.0,95.06,0.09506,33.111,3,2,0,1,1
2025-01-01 04:00:00,23.858,0.0,111.25,0.11125,23.858,4,2,0,1,1
2025-01-01 05:00:00,25.934,0.0,107.52,0.10752,25.934,5,2,0,1,1
2025-01-01 06:00:00,45.031,0.0,102.45,0.10245,45.031,6,2,0,1,1
2025-01-01 07:00:00,43.61,0.995,118.47,0.11847,42.615,7,2,0,1,1
2025-01-01 08:00:00,66.351,1.766,128.27,0.12827,64.585,8,2,0,1,1
2025-01-01 09:00:00,63.675,2.45,124.66,0.12466,61.225,9,2,0,1,1
2025-01-01 10:00:00,69.218,3.237,120.74,0.12074,65.981,10,2,0,1,1
2025-01-01 11:00:00,68.893,4.004,115.75,0.11575,64.889,11,2,0,1,1
2025-01-01 12:00:00,66.616,3.976,85.66,0.08566,62.64,12,2,0,1,1
2025-01-01 13:00:00,70.012,2.494,247.13,0.24713,67.518,13,2,0,1,1
2025-01-01 14:00:00,67.9,3.386,95.0,0.095,64.514,14,2,0,1,1
2025-01-01 15:00:00,63.655,3.273,214.95,0.21495,60.382,15,2,0,1,1
2025-01-01 16:00:00,67.584,2.449,93.2,0.0932,65.135,16,2,0,1,1
2025-01-01 17:00:00,63.336,1.903,105.63,0.10563,61.433,17,2,0,1,1
2025-01-01 18:00:00,69.215,0.939,124.6,0.1246,68.276,18,2,0,1,1
2025-01-01 19:00:00,39.622,0.0,149.59,0.14959,39.622,19,2,0,1,1
2025-01-01 20:00:00,39.19,0.0,161.45,0.16145,39.19,20,2,0,1,1
2025-01-01 21:00:00,37.603,0.0,155.48,0.15548,37.603,21,2,0,1,1
2025-01-01 22:00:00,43.694,0.0,116.34,0.11634,43.694,22,2,0,1,1
2025-01-01 23:00:00,29.607,0.0,111.9,0.1119,29.607,23,2,0,1,1
