price_bin,net_load_bin,soc_bin,time_block,weekend,q_discharge,q_hold,q_charge,visits_discharge,visits_hold,visits_charge,state_visits,best_action,best_action_index,best_environment_action
0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,hold,1,0
0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
0,0,0,1,0,-59.13542798974405,-58.08506895387926,-61.85502445688784,1218,1579,252,3049,hold,1,0
0,0,0,1,1,-48.319809149154686,-45.60941842784288,-49.40774262039747,1211,1270,372,2853,hold,1,0
0,0,0,2,0,-62.130842926611066,-60.30556398863065,-61.54517777232043,6464,4669,2357,13490,hold,1,0
0,0,0,2,1,-51.60691106826838,-48.72935912291922,-54.23101991417692,1941,1837,1073,4851,hold,1,0
0,0,0,3,0,0.0,0.0,0.0,0,0,0,0,hold,1,0
0,0,0,3,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
0,0,1,0,0,0.0,0.0,0.0,0,0,0,0,hold,1,0
0,0,1,0,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
0,0,1,1,0,-57.03600502507397,-58.578737022769545,-58.975389946356344,351,265,125,741,discharge,0,-1
0,0,1,1,1,-45.53642282192061,-42.55471923708997,-47.634000837907564,556,1030,157,1743,hold,1,0
0,0,1,2,0,-58.102732295068364,-61.41920783577603,-63.25060053505725,1177,1519,735,3431,discharge,0,-1
0,0,1,2,1,-50.789490598813586,-50.427655957158336,-50.99129470631111,1937,1455,527,3919,hold,1,0
0,0,1,3,0,0.0,0.0,0.0,0,0,0,0,hold,1,0
0,0,1,3,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
0,0,2,0,0,0.0,0.0,0.0,0,0,0,0,hold,1,0
0,0,2,0,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
0,0,2,1,0,-56.884735764895055,-57.789307250613135,-58.618885788743576,407,510,264,1181,discharge,0,-1
0,0,2,1,1,-46.086336513444785,-46.06784043780255,-46.551261753466996,825,695,318,1838,hold,1,0
0,0,2,2,0,-61.11646581401315,-60.89010679515045,-59.62569686790294,2827,2461,2283,7571,charge,2,1
0,0,2,2,1,-49.42511686180624,-51.326799401972266,-51.4321050013877,2337,1939,1327,5603,discharge,0,-1
0,0,2,3,0,0.0,0.0,0.0,0,0,0,0,hold,1,0
0,0,2,3,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
0,0,3,0,0,0.0,0.0,0.0,0,0,0,0,hold,1,0
0,0,3,0,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
0,0,3,1,0,-55.51316932807809,-56.69969792101308,-56.479783374208886,689,488,452,1629,discharge,0,-1
0,0,3,1,1,-46.22794835239353,-46.29183054573699,-46.409117750826674,1233,1237,896,3366,discharge,0,-1
0,0,3,2,0,-60.40513628468034,-61.21317360613055,-59.092666585883904,5389,6631,5088,17108,charge,2,1
0,0,3,2,1,-49.82150534284392,-49.755673174297655,-49.740594505436306,4560,6055,5412,16027,charge,2,1
0,0,3,3,0,0.0,0.0,0.0,0,0,0,0,hold,1,0
0,0,3,3,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
0,1,0,0,0,-69.70875698466845,-69.89820169416544,-73.12300344597286,20278,12464,4042,36784,discharge,0,-1
0,1,0,0,1,-54.45005047840684,-52.8975345451269,-56.115469761400625,12193,8907,7399,28499,hold,1,0
0,1,0,1,0,-60.51413842500456,-63.305799101712026,-65.04715841521244,3421,2224,623,6268,discharge,0,-1
0,1,0,1,1,-51.00667891349631,-54.93928766304756,-55.01168469961263,2246,2354,822,5422,discharge,0,-1
0,1,0,2,0,-65.2401366811554,-68.97540836854698,-68.2339737012881,9699,8791,3661,22151,discharge,0,-1
0,1,0,2,1,-58.200415811658985,-58.31258751426887,-59.97207853471826,1629,2415,2323,6367,discharge,0,-1
0,1,0,3,0,-63.90758874004716,-67.81164061267143,-71.22338942841606,877,1207,281,2365,discharge,0,-1
0,1,0,3,1,-55.81626995167236,-63.30598641357459,-66.48287954680274,1730,1992,639,4361,discharge,0,-1
0,1,1,0,0,-69.40697168460002,-69.83473058908989,-70.14860097781374,648,923,425,1996,discharge,0,-1
0,1,1,0,1,-55.6984632304185,-54.20013393353102,-55.47660804316143,755,4043,870,5668,hold,1,0
0,1,1,1,0,-63.14310331697406,-57.858294418449084,-62.42852740315453,550,636,202,1388,hold,1,0
0,1,1,1,1,-52.02725987380673,-51.83643537012263,-52.01506409376499,683,1395,293,2371,hold,1,0
0,1,1,2,0,-61.363060746560194,-68.44096289071274,-68.58187721537203,2004,2316,1445,5765,discharge,0,-1
0,1,1,2,1,-59.688074164931166,-58.145072376586384,-59.87677146245216,1548,3081,861,5490,hold,1,0
0,1,1,3,0,-45.97916222254341,-47.093200641127694,-46.0023689707859,25,27,19,71,discharge,0,-1
0,1,1,3,1,-61.82800468526181,-61.49379580751266,-61.093838766741015,102,102,95,299,charge,2,1
0,1,2,0,0,-69.04223774541946,-68.59619954224326,-71.18254935266837,3303,5922,3287,12512,hold,1,0
0,1,2,0,1,-51.711110892936176,-54.89546477075898,-55.28499434103089,3395,9585,2749,15729,discharge,0,-1
0,1,2,1,0,-58.58162357380067,-61.57934505152466,-63.360137343477035,1492,1003,331,2826,discharge,0,-1
0,1,2,1,1,-51.29899182100203,-53.7011836176788,-50.71521125680064,1615,1261,492,3368,charge,2,1
0,1,2,2,0,-68.08727398189008,-63.48745373537744,-67.4964595486482,5343,3513,2666,11522,hold,1,0
0,1,2,2,1,-57.73887039683711,-58.129166746496466,-58.4280145868302,4035,1607,1092,6734,discharge,0,-1
0,1,2,3,0,-62.64209291478614,-65.4202113028697,-65.09377368982899,227,230,110,567,discharge,0,-1
0,1,2,3,1,-60.54928380124159,-57.94239538771603,-60.044946120322095,284,377,166,827,hold,1,0
0,1,3,0,0,-69.31347737499036,-67.85816606035995,-69.56351217878566,1459,4597,4052,10108,hold,1,0
0,1,3,0,1,-53.2086977025083,-52.50893146999513,-52.28662715498629,2246,5210,2648,10104,charge,2,1
0,1,3,1,0,-60.73263460872285,-59.93783531951277,-60.5771518789776,888,1050,1180,3118,hold,1,0
0,1,3,1,1,-48.65668478454357,-49.254327039699504,-49.89203175968771,1513,1451,1475,4439,discharge,0,-1
0,1,3,2,0,-63.89531215289369,-64.82174836675813,-66.61368033563338,7985,9021,6756,23762,discharge,0,-1
0,1,3,2,1,-56.962187214625594,-54.12438994210322,-55.90439302997174,5830,4851,4128,14809,hold,1,0
0,1,3,3,0,-57.2640574325701,-56.798507328015155,-56.87476446180024,67,67,63,197,hold,1,0
0,1,3,3,1,-58.26972871962593,-58.50997842183827,-57.100229479337656,205,275,233,713,charge,2,1
0,2,0,0,0,-70.92336024664871,-68.0957070675614,-73.9046390921412,15813,14434,3548,33795,hold,1,0
0,2,0,0,1,-55.078162411602634,-52.04215252041682,-58.52986959230461,1237,1910,533,3680,hold,1,0
0,2,0,1,0,-67.296956871645,-70.17452279545657,-70.81393754322886,2416,1413,697,4526,discharge,0,-1
0,2,0,1,1,-55.90594823461342,-55.84597861050629,-59.46988871359763,1824,932,990,3746,hold,1,0
0,2,0,2,0,-69.13115419719303,-74.46148686021861,-75.273961887953,3770,2903,1808,8481,discharge,0,-1
0,2,0,2,1,-62.2657195483439,-66.0847367831963,-65.3631239585389,1308,1105,1245,3658,discharge,0,-1
0,2,0,3,0,-64.10988861799551,-67.87405996700224,-71.48616831673242,1182,1257,301,2740,discharge,0,-1
0,2,0,3,1,-61.29133680840467,-61.94768521057959,-63.68183366760991,899,690,253,1842,discharge,0,-1
0,2,1,0,0,-68.20853028068069,-69.18032671597985,-70.4499336860338,621,715,417,1753,discharge,0,-1
0,2,1,0,1,-52.740526382473234,-54.03542227754389,-53.56007290080946,141,269,135,545,discharge,0,-1
0,2,1,1,0,-71.82997086021378,-71.10930024506051,-70.3771542432356,306,241,209,756,charge,2,1
0,2,1,1,1,-54.70773456573305,-53.59204618659321,-55.22310364460586,328,737,261,1326,hold,1,0
0,2,1,2,0,-68.64682521143895,-73.3498174978182,-74.17322853636708,757,508,714,1979,discharge,0,-1
0,2,1,2,1,-62.48356723162947,-62.31369639328572,-60.858804635994524,307,1083,260,1650,charge,2,1
0,2,1,3,0,-58.9356463020422,-59.21756605452685,-58.548521611387145,31,34,28,93,charge,2,1
0,2,1,3,1,-59.833284638115614,-61.065137423912574,-60.63446224114156,109,120,67,296,discharge,0,-1
0,2,2,0,0,-69.78998464496956,-68.19688818370435,-69.46842365373725,3735,4770,3217,11722,hold,1,0
0,2,2,0,1,-53.620030536076186,-52.74186692813802,-53.67459300159465,334,1508,367,2209,hold,1,0
0,2,2,1,0,-65.99345809144887,-68.15625038733758,-69.74903652792702,900,812,385,2097,discharge,0,-1
0,2,2,1,1,-54.891257553554006,-53.396009371439746,-53.475245766549605,546,1243,573,2362,hold,1,0
0,2,2,2,0,-67.87588036481169,-71.50220208478925,-70.4720032228755,1596,1440,1522,4558,discharge,0,-1
0,2,2,2,1,-61.648833832499776,-61.34295435362751,-60.01125362168208,584,1283,1063,2930,charge,2,1
0,2,2,3,0,-67.37693547196417,-64.37552974544009,-67.7965315065365,272,255,198,725,hold,1,0
0,2,2,3,1,-59.249635637329064,-60.97857345650635,-60.374132203641224,183,150,90,423,discharge,0,-1
0,2,3,0,0,-66.23920568281864,-68.12391840629003,-68.17692421796663,1795,3724,3411,8930,discharge,0,-1
0,2,3,0,1,-50.7541419282715,-49.781052602214366,-49.9557171790319,318,479,369,1166,hold,1,0
0,2,3,1,0,-63.12303592469845,-67.20290206073419,-68.29462648205322,576,693,952,2221,discharge,0,-1
0,2,3,1,1,-53.735491732993786,-53.74315122359877,-53.602740692262564,989,676,1101,2766,charge,2,1
0,2,3,2,0,-71.02856803460494,-67.34488603856803,-70.34025238326318,1690,3972,2120,7782,hold,1,0
0,2,3,2,1,-59.16585124340523,-58.05140107567957,-58.952180270522845,853,1809,900,3562,hold,1,0
0,2,3,3,0,-53.60175719848517,-55.15067324781592,-54.77119344474121,75,77,90,242,discharge,0,-1
0,2,3,3,1,-58.5246638689392,-58.04503781773978,-57.74564974546729,161,148,130,439,charge,2,1
