episode,cumulative_reward,electricity_cost_eur,grid_import_kwh,battery_throughput_kwh,epsilon_start,epsilon,final_soc_kwh,training_steps,gradient_updates,target_syncs,mean_training_loss,max_training_loss,max_abs_q,max_abs_target,max_gradient_norm_before_clip,discharge_requests,hold_requests,charge_requests
1,-31765.461021578656,30325.19413188335,299303.85587257653,144026.6889695289,1.0,0.97625,60.69578947368421,8760,1691,8,0.7687020938576924,5.151579856872559,42.31393814086914,43.986751556396484,9.515052795410156,3001,2971,2788
2,-31941.80710687731,30483.389153663975,299671.9444072031,145841.7953213291,0.97625,0.9525,95.0,17520,3881,17,1.4667027601096183,2.974043846130371,74.2549819946289,70.5016860961914,13.658349990844727,3045,2850,2865
3,-31786.81734152719,30375.15687867401,299259.8308448765,141166.04628531775,0.9525,0.92875,44.97368421052632,26280,6071,26,1.8422631273530934,3.5300958156585693,82.89089965820312,80.76119232177734,15.502946853637695,2913,2963,2884
4,-31713.58920788921,30296.207160493064,299322.4335401665,141738.2047396114,0.92875,0.905,10.0,35040,8261,35,2.013942543175667,3.4979500770568848,94.10720825195312,93.57147979736328,14.89074993133545,2902,2911,2947
5,-31631.8382742996,30238.560445462997,298825.5582299179,139327.7828836557,0.905,0.88125,95.0,43800,10451,43,2.0427715393778394,3.7188735008239746,98.86878204345703,96.71417999267578,14.383890151977539,2931,3050,2779
6,-31630.06850849904,30212.693794094484,299093.9875595575,141737.47144044266,0.88125,0.8575,72.50842105263158,52560,12641,52,1.9973859425276925,3.8950107097625732,99.04806518554688,98.09864044189453,15.103737831115723,2972,2967,2821
7,-31536.00283632136,30186.475870393395,298997.8385623278,134952.69659279738,0.8575,0.83375,10.0,61320,14831,61,2.071081249381854,4.236590385437012,95.25499725341797,99.47845458984375,15.47456169128418,2942,3052,2766
8,-31568.234460897347,30167.16110350118,299467.2798975074,140107.33573961188,0.83375,0.81,74.93368421052631,70080,17021,70,2.0716249139885923,3.7209739685058594,97.70372009277344,99.60922241210938,15.517867088317871,2993,2921,2846
9,-31409.257670351468,30053.309787138136,298844.34468698193,135594.7883213287,0.81,0.78625,57.5,78840,19211,78,2.0450233226225256,3.761599063873291,97.60166931152344,101.19356536865234,16.56252670288086,2851,3130,2779
10,-31338.739926527636,29983.295226444578,298690.2682243781,135544.47000830952,0.78625,0.7625,10.0,87600,21401,87,1.984953791447426,3.885596513748169,96.68707275390625,99.20728302001953,16.317977905273438,2885,3156,2719
11,-31260.480197987643,29919.20404987134,298857.0137423845,134127.6148116334,0.7625,0.73875,95.0,96360,23591,96,2.1058868402215443,3.9626662731170654,97.33638000488281,100.3254623413086,19.201452255249023,2946,2985,2829
12,-31242.04231099403,29924.983923320855,298976.3516759006,131705.83876731255,0.73875,0.7150000000000001,95.0,105120,25781,105,2.112063746256371,4.377135276794434,100.00264739990234,102.95960998535156,17.878780364990234,2890,3020,2850
13,-31225.885489056225,29910.090778031354,298696.6911191151,131579.4711024922,0.7150000000000001,0.69125,27.43368421052631,113880,27971,113,2.1251360304279414,4.007541179656982,102.03148651123047,103.78092193603516,17.218185424804688,2973,2913,2874
14,-31012.30843981163,29716.012387734005,299042.1718171761,129629.6052077553,0.69125,0.6675,95.0,122640,30161,122,2.1526162139084786,4.205036640167236,106.90448760986328,102.80122375488281,15.946610450744629,2793,2993,2974
15,-31004.34576158693,29715.78043978634,298508.57367313193,128856.53218005472,0.6675,0.64375,10.0,131400,32351,131,2.121475762019963,4.481338024139404,104.98973846435547,102.73375701904297,15.023479461669922,2844,2893,3023
16,-30982.29652288522,29708.824691610946,298671.6421994466,127347.18312742311,0.64375,0.62,28.683157894736837,140160,34541,140,2.0814285745631613,4.566548824310303,101.8968734741211,102.35942077636719,15.485544204711914,2863,3040,2857
17,-30892.03944958073,29609.671829940817,298575.00713296526,128236.76196398787,0.62,0.59625,71.20842105263156,148920,36731,148,2.182891319984715,4.116378307342529,104.3692398071289,103.67984771728516,17.741458892822266,2902,3063,2795
18,-30884.8619072315,29610.592311857556,298547.01905540214,127426.95953739523,0.59625,0.5725,28.683157894736837,157680,38921,157,2.119447908445036,4.180288314819336,106.35154724121094,102.66722106933594,19.4908504486084,2869,3010,2881
19,-30772.362177351177,29555.64714275279,298071.60256509774,121671.503459833,0.5725,0.5487500000000001,69.44631578947369,166440,41111,166,2.1603684090043855,4.28930139541626,105.24684143066406,105.13523864746094,17.35883903503418,2705,3117,2938
20,-30716.984890999152,29515.95383030662,297974.1474653749,120103.10606925137,0.5487500000000001,0.525,72.98736842105262,175200,43301,175,2.1600031948525067,4.217564582824707,103.40973663330078,105.05094146728516,16.126502990722656,2746,3224,2790
21,-30673.798944731836,29446.881857889686,298155.2847146831,122691.70868420982,0.525,0.50125,57.5,183960,45491,183,2.1822570888691297,4.111748218536377,101.79145050048828,102.89698791503906,17.680566787719727,2755,3218,2787
22,-30670.29147716014,29432.36994646759,297963.9151883667,123792.15306925113,0.50125,0.47750000000000004,10.0,192720,47681,192,2.160865246977436,4.251781940460205,105.39746856689453,103.29739379882812,16.89757537841797,2933,3201,2626
23,-30543.98209426154,29337.644804012165,297324.65906648274,120633.72902493023,0.47750000000000004,0.4537500000000001,10.0,201480,49871,201,2.1271231969197593,4.243035793304443,103.8277816772461,103.0766830444336,17.06866455078125,3035,3141,2584
24,-30479.167589362638,29250.997799362616,297180.70540166355,122816.97899999916,0.4537500000000001,0.43000000000000005,10.0,210240,52061,210,2.107728783126291,4.273505210876465,107.87335968017578,102.28105163574219,18.31916046142578,3020,3322,2418
25,-30331.97247973577,29163.028588018362,296732.55147091503,116894.38917174423,0.43000000000000005,0.40625,60.69578947368421,219000,54251,219,2.2061386715331577,4.4501261711120605,99.26868438720703,101.82569885253906,17.221345901489258,2999,3483,2278
26,-30253.731358313213,29102.586531138608,296451.92380609515,115114.48271745071,0.40625,0.38250000000000006,10.0,227760,56441,227,2.210840211284759,4.645410537719727,99.386474609375,100.58514404296875,18.26250648498535,3123,3252,2385
27,-30245.725705334477,29110.371860043568,295953.9033130207,113535.38452908518,0.38250000000000006,0.35875,10.0,236520,58631,236,2.1947025408211362,4.355518341064453,103.90068817138672,108.59608459472656,16.305261611938477,3599,3184,1977
