episode,cumulative_reward,electricity_cost_eur,grid_import_kwh,battery_throughput_kwh,epsilon_start,epsilon,final_soc_kwh,training_steps,gradient_updates,target_syncs,mean_training_loss,max_training_loss,max_abs_q,max_abs_target,max_gradient_norm_before_clip,discharge_requests,hold_requests,charge_requests
1,-31849.23041700437,30387.78081686591,299808.16710803483,146144.9600138499,1.0,0.97625,95.0,8760,1691,8,0.7739429418184854,4.962488174438477,45.94673538208008,48.758201599121094,8.620240211486816,3013,2910,2837
2,-31809.997495867698,30393.01207933029,299560.5483296408,141698.54165373885,0.97625,0.9525,57.5,17520,3881,17,1.5288132548332214,3.4264259338378906,72.41844940185547,74.92546844482422,13.459549903869629,2930,2950,2880
3,-31708.01447131207,30283.16829981612,299514.07111080416,142484.61714958388,0.9525,0.92875,10.0,26280,6071,26,1.9442594353466818,4.226097583770752,80.43888854980469,85.54496765136719,14.351527214050293,2945,2960,2855
4,-31676.374750936706,30266.0640632913,299350.90229363006,141031.0687645423,0.92875,0.905,57.5,35040,8261,35,2.033067753216992,3.7002758979797363,89.0505599975586,92.70712280273438,14.213723182678223,2952,2865,2943
5,-31670.375357221783,30270.640088052816,299034.17538227217,139973.52691689695,0.905,0.88125,25.48736842105263,43800,10451,43,1.9742645704855113,3.7159183025360107,104.76802825927734,99.216064453125,15.510148048400879,2835,2984,2941
6,-31546.45559360718,30174.27039022771,299215.8492936302,137218.52033794968,0.88125,0.8575,10.0,52560,12641,52,1.9970971320589928,3.7074084281921387,101.83834838867188,99.40579223632812,16.296667098999023,2893,3059,2808
7,-31502.202254350912,30142.22481263342,298870.9337202234,135997.74417174442,0.8575,0.83375,28.683157894736837,61320,14831,61,2.0175453106834462,3.8414125442504883,107.12982177734375,101.45681762695312,14.957529067993164,2915,3057,2788
8,-31389.72075916967,30022.257849779104,298982.37391689775,136746.2909390574,0.83375,0.81,57.5,70080,17021,70,1.9897185538185242,3.8995113372802734,104.87985229492188,103.03790283203125,15.152316093444824,3025,3024,2711
9,-31408.895851253037,30087.823280255747,298818.28196953045,132107.2570997225,0.81,0.78625,28.683157894736837,78840,19211,78,2.100116245850036,4.153468608856201,101.17170715332031,102.06828308105469,17.36940574645996,2767,3180,2813
10,-31309.726259176263,30011.14238291586,298707.56870637217,129858.38762603777,0.78625,0.7625,10.0,87600,21401,87,2.0083055650806863,3.6010470390319824,103.46002197265625,101.60830688476562,16.185319900512695,2851,3101,2808
11,-31251.34093507305,29938.749055848664,298613.44721052685,131259.18792243704,0.7625,0.73875,57.5,96360,23591,96,2.0861774512349744,5.107151985168457,103.13818359375,110.18028259277344,16.912601470947266,2811,3160,2789
12,-31218.10048527561,29903.116570954226,298624.29459279904,131498.39143213214,0.73875,0.7150000000000001,95.0,105120,25781,105,2.1054370032325727,4.040903091430664,103.14974975585938,107.94844055175781,14.947827339172363,2866,3126,2768
13,-31175.146809069727,29884.68645920823,298301.84532133106,129046.034986149,0.7150000000000001,0.69125,34.9578947368421,113880,27971,113,2.1329055591261006,4.071620464324951,99.88493347167969,108.86480712890625,14.833405494689941,2804,3050,2906
14,-31013.5449435033,29737.98772566398,298297.6386703605,127555.7217839325,0.69125,0.6675,10.0,122640,30161,122,2.173458585319998,4.015491008758545,106.74359130859375,109.51667785644531,14.999255180358887,2747,2952,3061
15,-31130.35652163455,29853.838635291035,298383.67766482045,127651.78863434808,0.6675,0.64375,57.5,131400,32351,131,2.177704557762843,4.011748313903809,102.51897430419922,106.93595886230469,15.50256061553955,2781,2975,3004
16,-30931.1776952902,29667.94960024865,298078.6774542947,126322.80950415431,0.64375,0.62,23.195789473684208,140160,34541,140,2.1330111059696164,3.9744224548339844,101.64838409423828,100.74966430664062,15.327607154846191,2855,3166,2739
17,-30898.679244045165,29686.616076150367,298016.0725373967,121206.31678947293,0.62,0.59625,57.5,148920,36731,148,2.2392945976562153,4.527352809906006,100.12004089355469,103.91722869873047,16.666248321533203,2679,3218,2863
18,-30779.89891644503,29559.247550267715,297956.5067451532,122065.13661772764,0.59625,0.5725,95.0,157680,38921,157,2.2165030253260105,4.528054714202881,100.77434539794922,103.06857299804688,17.047643661499023,2828,3151,2781
19,-30766.411191628857,29553.620899828195,298056.25736011134,121279.02918005476,0.5725,0.5487500000000001,57.5,166440,41111,166,2.274988040341634,4.4217681884765625,101.02217102050781,104.31041717529297,17.167444229125977,2633,3040,3087
20,-30751.888444081313,29526.969814912263,298267.6403130212,122491.86291689667,0.5487500000000001,0.525,57.5,175200,43301,175,2.2403367807603862,4.819133281707764,98.52540588378906,100.9518051147461,16.18698501586914,2753,2943,3064
