episode,cumulative_reward,electricity_cost_eur,grid_import_kwh,battery_throughput_kwh,epsilon,final_soc_kwh
1,-31803.923465117885,30357.771844342307,299486.76974515326,144615.16207756146,1.0,10.0
2,-31854.687581600767,30406.03951306898,299461.6511163453,144864.80685318503,0.98,79.0936842105263
3,-31883.724465249263,30397.341755526304,299956.121670361,148638.27097229878,0.9603999999999999,60.69578947368421
4,-31896.77320508691,30406.45431841103,299734.3094265937,149031.8886675897,0.9411919999999999,28.683157894736837
5,-31834.29559601,30348.36874847531,299515.2253795026,148592.68475346226,0.9223681599999999,60.69578947368421
6,-31937.86081465672,30424.91004413042,299944.7345290863,151295.0770526311,0.9039207967999998,95.0
7,-31907.003170044212,30412.98657198318,299470.28794459964,149401.65980609352,0.8858423808639998,57.5
8,-31820.734205864184,30345.777022844744,299280.0266897511,147495.7183019387,0.8681255332467198,23.195789473684208
9,-31948.69917583573,30483.626818384233,299618.23172853264,146507.23574515176,0.8507630225817854,10.0
10,-31821.21039694074,30318.254170375592,299557.80500277074,150295.62265650937,0.8337477621301497,95.0
11,-31889.76002439614,30405.988755393315,299884.53716897574,148377.12690027678,0.8170728068875467,95.0
12,-31915.226022005765,30427.762450814607,299652.56001662137,148746.3571191131,0.8007313507497957,13.06210526315789
13,-31888.062503025863,30393.27454371839,299715.0203961236,149478.7959307475,0.7847167237347998,28.683157894736837
14,-31839.954568491896,30343.37335827042,299539.79206925223,149658.12102216008,0.7690223892601038,57.5
15,-31709.903582378996,30241.51372869477,299368.70540720405,146838.98536842075,0.7536419414749017,10.0
16,-31711.882495158105,30295.162217900455,299359.33143767423,141672.02772576135,0.7385691026454037,23.195789473684208
17,-31850.147360002687,30395.081176457108,299593.79430471046,145506.61835457003,0.7237977205924956,28.683157894736837
18,-31892.56126724859,30435.538744423055,299355.2749445994,145702.25228254808,0.7093217661806457,21.94631578947368
19,-31756.59630632994,30343.305933116615,299317.9885484774,141329.03732132926,0.6951353308570327,62.98736842105263
20,-31704.748961406825,30240.21733556198,299160.7522437682,146453.1625844869,0.6812326242398921,10.0
21,-31813.071742806136,30341.86497308315,299517.22228809004,147120.67697229853,0.6676079717550942,59.26210526315789
22,-31723.726543061348,30346.14152347682,299023.33235734253,137758.50195844818,0.6542558123199923,23.195789473684208
23,-31632.28735858411,30203.92491368115,299198.41093351925,142836.24449030412,0.6411706960735924,25.48736842105263
24,-31687.428841214652,30247.340451048487,299317.59268698137,144008.83901662013,0.6283472821521205,10.0
25,-31587.420205914103,30196.237424833816,299056.12096121954,139118.2781080324,0.6157803365090782,95.0
26,-31654.36709453226,30275.696105280218,298917.5894709155,137867.0989252069,0.6034647297788965,10.0
27,-31514.745867109552,30156.744762400285,299031.7488421065,135800.1104709134,0.5913954351833186,31.593684210526312
28,-31613.238717825345,30239.603299930648,298860.4700055418,137363.54178947303,0.5795675264796523,59.44631578947368
29,-31609.43286347646,30220.381412617753,298993.7965096959,138905.1450858717,0.5679761759500592,10.0
30,-31649.77971599774,30251.776984640383,299209.420936289,139800.27313573324,0.5566166524310581,25.142105263157887
31,-31560.597129001137,30179.519482519143,298874.46626315895,138107.76464819923,0.5454843193824369,10.0
32,-31456.41510154366,30123.30821785952,298637.9279833807,133310.6883684203,0.5345746329947881,10.0
33,-31501.997626490902,30114.445026213914,299164.3698781163,138755.26002770005,0.5238831403348924,95.0
34,-31510.017598057664,30185.08632077229,298742.98807202344,132493.12772853114,0.5134054775281945,10.0
35,-31389.17844436317,30065.046141482242,298999.0325789491,132413.23028808768,0.5031373679776306,60.69578947368421
36,-31541.60498215846,30117.161652601662,299309.06389196735,142444.33295567808,0.493074620618078,95.0
37,-31481.100279809485,30073.08333399232,299196.8407645436,140801.6945817166,0.48321312820571644,23.195789473684208
38,-31300.32630319875,29991.372091619753,298550.4416537407,130895.42115789388,0.4735488656416021,33.70842105263157
39,-31486.23148237218,30164.373506748932,299034.33855401777,132185.79756232622,0.46407788832877006,10.0
40,-31566.359914590696,30183.77937561569,299237.7794099732,138258.05389750618,0.45479633056219465,60.69578947368421
41,-31520.467102837767,30148.007568738056,299059.99950415624,137245.9534099716,0.44570040395095073,60.69578947368421
42,-31458.11106771961,30136.876315448153,299184.4146426604,132123.47522714603,0.4367863958719317,57.5
43,-31581.198036204838,30200.234980221496,299074.0070581732,138096.30559833726,0.42805066795449304,25.142105263157887
44,-31245.77767078871,30021.705412561605,298172.4549307488,122407.22582271391,0.41948965459540316,10.0
45,-31199.107765409288,30045.82632006294,298276.70592243836,115328.14453462537,0.4110998615034951,10.0
46,-31302.69072546522,30103.15804003586,298137.4203628818,119953.26854293556,0.4028778642734252,10.0
47,-31102.244895164706,29958.759712173,297732.7017036023,114348.51829916818,0.39482030698795667,10.0
48,-31243.196522729002,29973.44147192578,298417.0551191151,126975.50508033158,0.38692390084819756,23.195789473684208
49,-31339.55159537504,30050.309781413784,298510.526318561,128924.18139612119,0.3791854228312336,95.0
50,-31239.528961502543,29920.262939231117,298295.99836565217,131926.60222714604,0.37160171437460887,10.0
51,-31172.962547015166,29889.20682632261,298817.43921052746,128375.57206925117,0.3641696800871167,95.0
52,-31252.19811785127,30105.307653723885,298163.41249030596,114689.04641274184,0.35688628648537435,28.683157894736837
53,-31209.697438560837,29971.92341135857,298241.983889198,123777.40272022103,0.34974856075566685,57.5
54,-31319.887840066815,30106.76951280912,298213.47435457155,121311.83272576107,0.3427535895405535,10.0
55,-31264.91710659224,30045.56022360047,298057.63650138635,121935.68829916816,0.33589851774974244,10.0
56,-31258.26552649176,29990.851350342065,297903.08965651074,126741.41761495775,0.3291805473947476,57.5
57,-31195.78742371719,29940.93534155649,297831.71712742513,125485.20821606592,0.32259693644685267,24.251578947368415
58,-31158.705368683204,29976.85080197959,298298.0459972313,118185.4566703598,0.3161449977179156,57.5
59,-31027.641708219653,29852.898966696146,297634.77337950317,117474.27415235424,0.3098220977635573,10.0
60,-31120.508360766795,29946.380511459312,297189.49429362995,117412.78493074741,0.30362565580828615,10.0
61,-31006.806096755146,30026.215177198403,297046.2479058183,98059.09195567851,0.2975531426921204,10.0
62,-31091.31931123061,30032.635878654477,297687.2982049876,105868.34325761713,0.291602079838278,10.0
63,-31209.372713856745,30115.96362862133,297384.57934072136,109340.90852354521,0.2857700382415124,10.0
64,-31142.906020258128,30005.252197127964,297669.83986980736,113765.38231301888,0.2800546374766822,27.43368421052631
65,-31167.958546870777,29978.7980595577,297482.35622160824,118916.04873130113,0.27445354472714856,10.0
66,-30763.295190124427,29716.83902281141,296489.2956398905,104645.61673130134,0.2689644738326056,69.44631578947369
67,-31032.30969444558,29962.474130401246,297382.0842936304,106983.55640443192,0.26358518435595346,95.0
68,-31097.554772809533,29968.617169374673,298004.33032133064,112893.76034348964,0.25831348066883436,10.0
69,-31116.926671925987,29988.02136356038,298136.24314127525,112890.53083656455,0.2531472110554577,10.0
70,-31108.460689085732,29945.704642963778,297635.0151135747,116275.60461218783,0.24808426683434853,95.0
71,-31011.309754739123,30024.492780085362,297158.1847174527,98681.6974653738,0.24312258149766156,10.0
72,-31570.169938902294,30309.46881042583,298510.061919668,126070.11284764469,0.2382601298677083,13.06210526315789
73,-31165.69059681473,30039.581510221928,297829.60107202333,112610.90865927913,0.23349492727035415,10.0
74,-31007.861994632516,29897.637090477296,298016.1977396136,111022.49041551194,0.22882502872494706,57.5
75,-31165.545371268716,29928.77512185039,297615.54412188474,123677.02494182739,0.22424852815044813,10.0
76,-30927.17714307532,29862.565773463066,297178.6780914141,106461.13696121817,0.21976355758743915,10.0
77,-30777.174372710248,29801.621041269784,296668.63128532,97555.3331440439,0.21536828643569036,10.0
78,-30757.54583511935,29840.045061933673,296080.6837783951,91750.07731855937,0.21106092070697655,10.0
79,-30832.947704587077,29968.96453026567,296666.29951246706,86398.31743213262,0.20683970229283702,25.48736842105263
80,-30982.604824612317,30027.623041038838,297248.2956094191,95498.17835734025,0.20270290824698028,25.48736842105263
81,-30939.400689236078,29921.874160371804,296833.89444321493,101752.65288642634,0.19864885008204067,10.0
82,-30924.848259943632,29969.173281439493,297087.3734349042,95567.49785041522,0.19467587308039985,10.0
83,-31014.696032454955,29956.739850266506,297968.94959833944,105795.6182188364,0.19078235561879187,10.0
84,-30718.179107642984,29645.276822213615,297531.7661440455,107290.22854293579,0.18696670850641603,10.0
85,-31039.87815138224,29930.90760692237,297830.76604432275,110897.05444598306,0.18322737433628772,10.0
86,-30944.855965910527,30026.62570782191,296485.12960664934,91823.02580886401,0.17956282684956196,10.0
87,-30735.834485161293,29845.48007867928,296101.15773961355,89035.44064819902,0.1759715703125707,10.0
88,-30546.889022990475,29713.80199562206,294995.18961218913,83308.70273684197,0.1724521389063193,10.0
89,-30929.023520985964,29961.158966747764,296537.6368725775,96786.45542382216,0.16900309612819292,10.0
90,-30952.08284902112,29956.52493561386,296901.6204653755,99555.79134071984,0.16562303420562907,10.0
91,-30824.013707231552,29946.29388230077,296194.7933490322,87771.98249307445,0.16231057352151648,10.0
92,-31037.60661998536,30059.396660733164,297280.0188199464,97820.99592520729,0.15906436205108615,10.0
93,-30955.846652493015,30095.30666606645,296736.4509113589,86053.99864265902,0.15588307481006441,10.0
94,-31038.196117330812,30051.008592594007,297371.17171745247,98718.75247368426,0.15276541331386312,10.0
95,-30435.167321236113,29715.956123064338,294646.96613850613,71921.11981717452,0.14971010504758586,10.0
96,-30559.48599896799,29835.06144486821,296151.8782354583,72442.4554099722,0.14671590294663414,10.0
97,-30951.69921458469,29934.20668829668,297666.21079224517,101749.25262880883,0.14378158488770146,10.0
98,-30679.899032432208,29985.90269442671,295888.0466814419,69399.63380055399,0.14090595318994742,10.0
99,-31059.49701089399,30182.53542443973,296804.50078393513,87696.1586454291,0.13808783412614847,10.0
100,-31125.487908782285,30090.716993436017,296662.74213019497,103477.09153462556,0.13532607744362551,10.0
101,-30972.448259859502,29915.622889942588,297297.60040720284,105682.53699168927,0.132619555894753,10.0
102,-30933.971726619777,29750.060853406507,297521.3009861511,118391.0873213292,0.12996716477685794,10.0
103,-31033.82718846754,29942.917945365025,298140.1853905823,109090.92431024865,0.12736782148132078,35.142105263157895
104,-31155.004450480486,30080.248761145245,297787.7378725774,107475.56893351753,0.12482046505169436,10.0
105,-30939.4517752564,29917.924831710607,297317.0703988933,102152.69435457005,0.12232405575066048,10.0
106,-30750.341837329328,29658.70978195538,297637.253326871,109163.20553739554,0.11987757463564727,10.0
107,-30777.607122470024,29810.819435932637,297156.20968975296,96678.76865373913,0.11748002314293432,10.0
108,-30869.551730499974,29758.5462804723,297286.00906648376,111100.54500276955,0.11513042268007563,10.0
109,-30713.781252620836,29555.81917242689,296794.6032964009,115796.20801939002,0.11282781422647412,10.0
110,-30606.162628895796,29541.957577953886,297475.1693795031,106420.50509418239,0.11057125794194463,23.195789473684208
111,-30401.128381541617,29562.396399519388,296218.4899723004,83873.19820221566,0.10835983278310574,10.0
112,-30151.18405932747,29412.790074867593,295146.0088310263,73839.39844598332,0.10619263612744362,10.0
113,-30523.504652631167,29722.574449694883,295913.9471551258,80093.02029362858,0.10406878340489474,10.0
114,-30700.128788562357,29813.417042440546,296333.44815789664,88671.17461218801,0.10198740773679685,10.0
115,-30520.054932675735,29797.56460447628,296038.46897507086,72249.0328199445,0.09994765958206091,10.0
116,-30345.841858443448,29644.319694205216,295790.9436814416,70152.21642382271,0.0979487063904197,10.0
117,-30439.27742225073,29745.827437790806,296245.5901468159,69344.9984459834,0.0959897322626113,21.94631578947368
118,-30869.83050275524,29895.330639846685,297668.89870637277,97449.98629085845,0.09406993761735907,10.0
119,-30757.96947459633,29767.384053238937,297312.5739723001,99058.54213573363,0.0921885388650119,10.0
120,-30873.756918490453,29915.731967770247,297235.2710526324,95802.49507202157,0.09034476808771166,10.0
121,-30867.899697034394,29934.204359001185,297571.161839337,93369.5338033236,0.08853787272595742,10.0
122,-30342.070686847608,29732.08122316336,295926.2514792254,60998.94636842107,0.08676711527143827,10.0
123,-30958.67903072428,30072.12003269104,297313.3916315804,88655.89980332377,0.0850317729660095,10.0
124,-30683.453951362575,29974.268812249073,296111.58761773055,70918.5139113573,0.08333113750668932,10.0
125,-30507.159177604128,29799.97220103896,295166.01248199644,70718.69765650976,0.08166451475655553,10.0
